raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Brazenness,Brazenness,conversation_observable,True,low,"Measures the degree of brazenness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of brazenness.,Slight evidence of brazenness; brief or weak signals.,Moderate brazenness; clear but not dominant evidence.,Strong brazenness; multiple clear indicators.,Very strong brazenness; pervasive and compelling evidence.,,
Talkativeness,Talkativeness,conversation_observable,True,low,"Measures the degree of talkativeness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of talkativeness.,Slight evidence of talkativeness; brief or weak signals.,Moderate talkativeness; clear but not dominant evidence.,Strong talkativeness; multiple clear indicators.,Very strong talkativeness; pervasive and compelling evidence.,,
Equitableness,Equitableness,conversation_observable,True,low,"Measures the degree of equitableness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of equitableness.,Slight evidence of equitableness; brief or weak signals.,Moderate equitableness; clear but not dominant evidence.,Strong equitableness; multiple clear indicators.,Very strong equitableness; pervasive and compelling evidence.,,
Ideas generated/day,Ideas Generated/day,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Originality,Originality,conversation_observable,True,low,"Measures the degree of originality demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of originality.,Slight evidence of originality; brief or weak signals.,Moderate originality; clear but not dominant evidence.,Strong originality; multiple clear indicators.,Very strong originality; pervasive and compelling evidence.,,
Fearfulness: Fear of physical dangers,Fearfulness: Fear of Physical Dangers,conversation_observable,True,low,"Measures the degree of fearfulness: fear of physical dangers demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of fearfulness: fear of physical dangers.,Slight evidence of fearfulness: fear of physical dangers; brief or weak signals.,Moderate fearfulness: fear of physical dangers; clear but not dominant evidence.,Strong fearfulness: fear of physical dangers; multiple clear indicators.,Very strong fearfulness: fear of physical dangers; pervasive and compelling evidence.,,
Dance rehearsal hours/week,Dance Rehearsal Hours/week,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
561. Practice frequency: Mantra meditation,Practice Frequency: Mantra Meditation,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Public-transport km/week,Public-transport Km/week,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Social Desirability Bias,Social Desirability Bias,conversation_observable,True,low,"Measures the degree of social desirability bias demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of social desirability bias.,Slight evidence of social desirability bias; brief or weak signals.,Moderate social desirability bias; clear but not dominant evidence.,Strong social desirability bias; multiple clear indicators.,Very strong social desirability bias; pervasive and compelling evidence.,,
761. I Ching hexagram 43 resonance level,I Ching Hexagram 43 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Disagreeableness,Disagreeableness,conversation_observable,True,low,"Measures the degree of disagreeableness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of disagreeableness in the conversation.,Minimal/isolated signs of disagreeableness.,Moderate disagreeableness apparent in several statements.,Clear and repeated disagreeableness throughout.,Pervasive disagreeableness dominating the conversation.,,
Participation in Community Activities,Participation in Community Activities,conversation_observable,True,low,"Measures the degree of participation in community activities demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of participation in community activities.,Slight evidence of participation in community activities; brief or weak signals.,Moderate participation in community activities; clear but not dominant evidence.,Strong participation in community activities; multiple clear indicators.,Very strong participation in community activities; pervasive and compelling evidence.,,
Impudence,Impudence,conversation_observable,True,low,"Measures the degree of impudence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of impudence in the conversation.,Minimal/isolated signs of impudence.,Moderate impudence apparent in several statements.,Clear and repeated impudence throughout.,Pervasive impudence dominating the conversation.,,
Analogies,Analogies,conversation_observable,True,low,"Measures the degree of analogies demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of analogies.,Slight evidence of analogies; brief or weak signals.,Moderate analogies; clear but not dominant evidence.,Strong analogies; multiple clear indicators.,Very strong analogies; pervasive and compelling evidence.,,
Clumsiness,Clumsiness,conversation_observable,True,low,"Measures the degree of clumsiness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of clumsiness in the conversation.,Minimal/isolated signs of clumsiness.,Moderate clumsiness apparent in several statements.,Clear and repeated clumsiness throughout.,Pervasive clumsiness dominating the conversation.,,
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,conversation_observable,True,low,"Measures the degree of tendency toward compromise or confrontation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of tendency toward compromise or confrontation.,Slight evidence of tendency toward compromise or confrontation; brief or weak signals.,Moderate tendency toward compromise or confrontation; clear but not dominant evidence.,Strong tendency toward compromise or confrontation; multiple clear indicators.,Very strong tendency toward compromise or confrontation; pervasive and compelling evidence.,,
737. I Ching hexagram 19 resonance level,I Ching Hexagram 19 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Robotics-interaction frequency,Robotics-interaction Frequency,conversation_observable,True,low,"Measures the degree of robotics-interaction frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of robotics-interaction frequency.,Slight evidence of robotics-interaction frequency; brief or weak signals.,Moderate robotics-interaction frequency; clear but not dominant evidence.,Strong robotics-interaction frequency; multiple clear indicators.,Very strong robotics-interaction frequency; pervasive and compelling evidence.,,
Casual lifestyle,Casual Lifestyle,conversation_observable,True,low,"Measures the degree of casual lifestyle demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of casual lifestyle.,Slight evidence of casual lifestyle; brief or weak signals.,Moderate casual lifestyle; clear but not dominant evidence.,Strong casual lifestyle; multiple clear indicators.,Very strong casual lifestyle; pervasive and compelling evidence.,,
Collectedness,Collectedness,conversation_observable,True,low,"Measures the degree of collectedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of collectedness.,Slight evidence of collectedness; brief or weak signals.,Moderate collectedness; clear but not dominant evidence.,Strong collectedness; multiple clear indicators.,Very strong collectedness; pervasive and compelling evidence.,,
Reliance on context,Reliance on Context,conversation_observable,True,low,"Measures the degree of reliance on context demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of reliance on context.,Slight evidence of reliance on context; brief or weak signals.,Moderate reliance on context; clear but not dominant evidence.,Strong reliance on context; multiple clear indicators.,Very strong reliance on context; pervasive and compelling evidence.,,
Delegation skills,Delegation Skills,conversation_observable,True,low,"Measures the degree of delegation skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of delegation skills.,Slight evidence of delegation skills; brief or weak signals.,Moderate delegation skills; clear but not dominant evidence.,Strong delegation skills; multiple clear indicators.,Very strong delegation skills; pervasive and compelling evidence.,,
767. I Ching hexagram 49 resonance level,I Ching Hexagram 49 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Managing emotions,Managing Emotions,conversation_observable,True,low,"Measures the degree of managing emotions demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of managing emotions.,Slight evidence of managing emotions; brief or weak signals.,Moderate managing emotions; clear but not dominant evidence.,Strong managing emotions; multiple clear indicators.,Very strong managing emotions; pervasive and compelling evidence.,,
Scripture memorization verses,Scripture Memorization Verses,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Conventional,Conventional,conversation_observable,True,low,"Measures the degree of conventional demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of conventional.,Slight evidence of conventional; brief or weak signals.,Moderate conventional; clear but not dominant evidence.,Strong conventional; multiple clear indicators.,Very strong conventional; pervasive and compelling evidence.,,
890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu Spiritual Metric: Bhagavad-gita Study Hours,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Open-source contributions,Open-source Contributions,conversation_observable,True,low,"Measures the degree of open-source contributions demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of open-source contributions.,Slight evidence of open-source contributions; brief or weak signals.,Moderate open-source contributions; clear but not dominant evidence.,Strong open-source contributions; multiple clear indicators.,Very strong open-source contributions; pervasive and compelling evidence.,,
Psychological construct: Social Conformity tendency,Psychological Construct: Social Conformity Tendency,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Individuality,Individuality,conversation_observable,True,low,"Measures the degree of individuality demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of individuality.,Slight evidence of individuality; brief or weak signals.,Moderate individuality; clear but not dominant evidence.,Strong individuality; multiple clear indicators.,Very strong individuality; pervasive and compelling evidence.,,
740. I Ching hexagram 22 resonance level,I Ching Hexagram 22 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Attachment style: Secure,Attachment Style: Secure,biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
Intelligence Quotient (IQ),Intelligence Quotient (IQ),biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
Blog-subscriber count,Blog-subscriber Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Non-Verbal Communication Skills,Non-verbal Communication Skills,conversation_observable,True,low,"Measures the degree of non-verbal communication skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of non-verbal communication skills.,Slight evidence of non-verbal communication skills; brief or weak signals.,Moderate non-verbal communication skills; clear but not dominant evidence.,Strong non-verbal communication skills; multiple clear indicators.,Very strong non-verbal communication skills; pervasive and compelling evidence.,,
Drug-use history,Drug-use History,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Commute time/day,Commute Time/day,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Decision-making speed,Decision-making Speed,conversation_observable,True,low,"Measures the degree of decision-making speed demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of decision-making speed.,Slight evidence of decision-making speed; brief or weak signals.,Moderate decision-making speed; clear but not dominant evidence.,Strong decision-making speed; multiple clear indicators.,Very strong decision-making speed; pervasive and compelling evidence.,,
Psychological construct: Excuse-Making tendency,Psychological Construct: Excuse-making Tendency,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Peer-to-peer lending usage,Peer-to-peer Lending Usage,conversation_observable,True,low,"Measures the degree of peer-to-peer lending usage demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of peer-to-peer lending usage.,Slight evidence of peer-to-peer lending usage; brief or weak signals.,Moderate peer-to-peer lending usage; clear but not dominant evidence.,Strong peer-to-peer lending usage; multiple clear indicators.,Very strong peer-to-peer lending usage; pervasive and compelling evidence.,,
Psychological construct: Eye-Contact avoidance score,Psychological Construct: Eye-contact Avoidance Score,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition Variable: Faux Pas Recognition Accuracy,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Conscientiousness (C):,Conscientiousness (C),conversation_observable,True,low,"Measures the degree of conscientiousness (c) demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of conscientiousness (c).,Slight evidence of conscientiousness (c); brief or weak signals.,Moderate conscientiousness (c); clear but not dominant evidence.,Strong conscientiousness (c); multiple clear indicators.,Very strong conscientiousness (c); pervasive and compelling evidence.,,trailing_colon
Use of Nature as a Stress Reliever,Use of Nature As a Stress Reliever,conversation_observable,True,low,"Measures the degree of use of nature as a stress reliever demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of use of nature as a stress reliever.,Slight evidence of use of nature as a stress reliever; brief or weak signals.,Moderate use of nature as a stress reliever; clear but not dominant evidence.,Strong use of nature as a stress reliever; multiple clear indicators.,Very strong use of nature as a stress reliever; pervasive and compelling evidence.,,
Attitude toward learning,Attitude Toward Learning,conversation_observable,True,low,"Measures the degree of attitude toward learning demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of attitude toward learning.,Slight evidence of attitude toward learning; brief or weak signals.,Moderate attitude toward learning; clear but not dominant evidence.,Strong attitude toward learning; multiple clear indicators.,Very strong attitude toward learning; pervasive and compelling evidence.,,
Conscientiousness Facets:,Conscientiousness Facets,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Honesty-humility trait score,Honesty-humility Trait Score,conversation_observable,True,low,"Measures the degree of honesty-humility trait score demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of honesty-humility trait score.,Slight evidence of honesty-humility trait score; brief or weak signals.,Moderate honesty-humility trait score; clear but not dominant evidence.,Strong honesty-humility trait score; multiple clear indicators.,Very strong honesty-humility trait score; pervasive and compelling evidence.,,
Digital-nomad months,Digital-nomad Months,conversation_observable,True,low,"Measures the degree of digital-nomad months demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of digital-nomad months.,Slight evidence of digital-nomad months; brief or weak signals.,Moderate digital-nomad months; clear but not dominant evidence.,Strong digital-nomad months; multiple clear indicators.,Very strong digital-nomad months; pervasive and compelling evidence.,,
516. Religious coping – Negative,Religious Coping – Negative,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Snacking Behavior,Snacking Behavior,conversation_observable,True,low,"Measures the degree of snacking behavior demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of snacking behavior.,Slight evidence of snacking behavior; brief or weak signals.,Moderate snacking behavior; clear but not dominant evidence.,Strong snacking behavior; multiple clear indicators.,Very strong snacking behavior; pervasive and compelling evidence.,,
Aura-color perception,Aura-color Perception,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,
638. Sacred text engagement: Zohar (Kabbalah) study hours,Sacred Text Engagement: Zohar (kabbalah) Study Hours,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Motivational Drivers:,Motivational Drivers,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Cloud-backup frequency,Cloud-backup Frequency,conversation_observable,True,low,"Measures the degree of cloud-backup frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cloud-backup frequency.,Slight evidence of cloud-backup frequency; brief or weak signals.,Moderate cloud-backup frequency; clear but not dominant evidence.,Strong cloud-backup frequency; multiple clear indicators.,Very strong cloud-backup frequency; pervasive and compelling evidence.,,
Learning Style,Learning Style,biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
872. Islamic practice: Seerah study hours,Islamic Practice: Seerah Study Hours,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Safety compliance,Safety Compliance,conversation_observable,True,low,"Measures the degree of safety compliance demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of safety compliance.,Slight evidence of safety compliance; brief or weak signals.,Moderate safety compliance; clear but not dominant evidence.,Strong safety compliance; multiple clear indicators.,Very strong safety compliance; pervasive and compelling evidence.,,
Sensationalism,Sensationalism,conversation_observable,True,low,"Measures the degree of sensationalism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sensationalism.,Slight evidence of sensationalism; brief or weak signals.,Moderate sensationalism; clear but not dominant evidence.,Strong sensationalism; multiple clear indicators.,Very strong sensationalism; pervasive and compelling evidence.,,
Nationality,Nationality,biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
Drollness,Drollness,conversation_observable,True,low,"Measures the degree of drollness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of drollness.,Slight evidence of drollness; brief or weak signals.,Moderate drollness; clear but not dominant evidence.,Strong drollness; multiple clear indicators.,Very strong drollness; pervasive and compelling evidence.,,
Cooperation,Cooperation,conversation_observable,True,low,"Measures the degree of cooperation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cooperation.,Slight evidence of cooperation; brief or weak signals.,Moderate cooperation; clear but not dominant evidence.,Strong cooperation; multiple clear indicators.,Very strong cooperation; pervasive and compelling evidence.,,
Breakfast-skipping frequency,Breakfast-skipping Frequency,conversation_observable,True,low,"Measures the degree of breakfast-skipping frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of breakfast-skipping frequency.,Slight evidence of breakfast-skipping frequency; brief or weak signals.,Moderate breakfast-skipping frequency; clear but not dominant evidence.,Strong breakfast-skipping frequency; multiple clear indicators.,Very strong breakfast-skipping frequency; pervasive and compelling evidence.,,
922. Sikh spiritual metric: Kirtan participation frequency,Sikh Spiritual Metric: Kirtan Participation Frequency,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Impulsivity,Impulsivity,conversation_observable,True,low,"Measures the degree of impulsivity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of impulsivity.,Slight evidence of impulsivity; brief or weak signals.,Moderate impulsivity; clear but not dominant evidence.,Strong impulsivity; multiple clear indicators.,Very strong impulsivity; pervasive and compelling evidence.,,
Museum visits/year,Museum Visits/year,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Choir participation years,Choir Participation Years,conversation_observable,True,low,"Measures the degree of choir participation years demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of choir participation years.,Slight evidence of choir participation years; brief or weak signals.,Moderate choir participation years; clear but not dominant evidence.,Strong choir participation years; multiple clear indicators.,Very strong choir participation years; pervasive and compelling evidence.,,
Delegation Ability,Delegation Ability,conversation_observable,True,low,"Measures the degree of delegation ability demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of delegation ability.,Slight evidence of delegation ability; brief or weak signals.,Moderate delegation ability; clear but not dominant evidence.,Strong delegation ability; multiple clear indicators.,Very strong delegation ability; pervasive and compelling evidence.,,
788. Kabbalah sephira balance: Tiferet,Kabbalah Sephira Balance: Tiferet,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Desire to influence others,Desire to Influence Others,conversation_observable,True,low,"Measures the degree of desire to influence others demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of desire to influence others.,Slight evidence of desire to influence others; brief or weak signals.,Moderate desire to influence others; clear but not dominant evidence.,Strong desire to influence others; multiple clear indicators.,Very strong desire to influence others; pervasive and compelling evidence.,,
Vivacity,Vivacity,conversation_observable,True,low,"Measures the degree of vivacity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of vivacity.,Slight evidence of vivacity; brief or weak signals.,Moderate vivacity; clear but not dominant evidence.,Strong vivacity; multiple clear indicators.,Very strong vivacity; pervasive and compelling evidence.,,
Genialness,Genialness,conversation_observable,True,low,"Measures the degree of genialness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of genialness.,Slight evidence of genialness; brief or weak signals.,Moderate genialness; clear but not dominant evidence.,Strong genialness; multiple clear indicators.,Very strong genialness; pervasive and compelling evidence.,,
Cognitive measure: Working Memory Index,Cognitive Measure: Working Memory Index,conversation_observable,True,low,"Measures the degree of cognitive measure: working memory index demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cognitive measure: working memory index.,Slight evidence of cognitive measure: working memory index; brief or weak signals.,Moderate cognitive measure: working memory index; clear but not dominant evidence.,Strong cognitive measure: working memory index; multiple clear indicators.,Very strong cognitive measure: working memory index; pervasive and compelling evidence.,,
Ethical practices,Ethical Practices,conversation_observable,True,low,"Measures the degree of ethical practices demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of ethical practices.,Slight evidence of ethical practices; brief or weak signals.,Moderate ethical practices; clear but not dominant evidence.,Strong ethical practices; multiple clear indicators.,Very strong ethical practices; pervasive and compelling evidence.,,
945. New-Age spiritual metric: Channeling sessions / year,New-age Spiritual Metric: Channeling Sessions / Year,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Civility,Civility,conversation_observable,True,low,"Measures the degree of civility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of civility.,Slight evidence of civility; brief or weak signals.,Moderate civility; clear but not dominant evidence.,Strong civility; multiple clear indicators.,Very strong civility; pervasive and compelling evidence.,,
Sleep Apnea,Sleep Apnea,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Classiness,Classiness,conversation_observable,True,low,"Measures the degree of classiness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of classiness.,Slight evidence of classiness; brief or weak signals.,Moderate classiness; clear but not dominant evidence.,Strong classiness; multiple clear indicators.,Very strong classiness; pervasive and compelling evidence.,,
Control over situations,Control Over Situations,conversation_observable,True,low,"Measures the degree of control over situations demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of control over situations.,Slight evidence of control over situations; brief or weak signals.,Moderate control over situations; clear but not dominant evidence.,Strong control over situations; multiple clear indicators.,Very strong control over situations; pervasive and compelling evidence.,,
Time outdoors/day (h),Time Outdoors/day (h),external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Effeteness,Effeteness,conversation_observable,True,low,"Measures the degree of effeteness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of effeteness.,Slight evidence of effeteness; brief or weak signals.,Moderate effeteness; clear but not dominant evidence.,Strong effeteness; multiple clear indicators.,Very strong effeteness; pervasive and compelling evidence.,,
Polygenic risk: cardiovascular disease,Polygenic Risk: Cardiovascular Disease,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Psychological construct: Identity Diffusion level,Psychological Construct: Identity Diffusion Level,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Learning through movement,Learning Through Movement,conversation_observable,True,low,"Measures the degree of learning through movement demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of learning through movement.,Slight evidence of learning through movement; brief or weak signals.,Moderate learning through movement; clear but not dominant evidence.,Strong learning through movement; multiple clear indicators.,Very strong learning through movement; pervasive and compelling evidence.,,
Caffeine sensitivity gene,Caffeine Sensitivity Gene,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Hatefulness,Hatefulness,conversation_observable,True,low,"Measures the degree of hatefulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of hatefulness in the conversation.,Minimal/isolated signs of hatefulness.,Moderate hatefulness apparent in several statements.,Clear and repeated hatefulness throughout.,Pervasive hatefulness dominating the conversation.,,
Persistence:,Persistence,conversation_observable,True,low,"Measures the degree of persistence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of persistence.,Slight evidence of persistence; brief or weak signals.,Moderate persistence; clear but not dominant evidence.,Strong persistence; multiple clear indicators.,Very strong persistence; pervasive and compelling evidence.,,trailing_colon
Psychological construct: Perfectionistic Strivings,Psychological Construct: Perfectionistic Strivings,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Wake-time consistency,Wake-time Consistency,conversation_observable,True,low,"Measures the degree of wake-time consistency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of wake-time consistency.,Slight evidence of wake-time consistency; brief or weak signals.,Moderate wake-time consistency; clear but not dominant evidence.,Strong wake-time consistency; multiple clear indicators.,Very strong wake-time consistency; pervasive and compelling evidence.,,
Numerical Reasoning:,Numerical Reasoning,conversation_observable,True,low,"Measures the degree of numerical reasoning demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of numerical reasoning.,Slight evidence of numerical reasoning; brief or weak signals.,Moderate numerical reasoning; clear but not dominant evidence.,Strong numerical reasoning; multiple clear indicators.,Very strong numerical reasoning; pervasive and compelling evidence.,,trailing_colon
Social-cognition variable: Mentalizing network activation,Social-cognition Variable: Mentalizing Network Activation,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Patriotism,Patriotism,conversation_observable,True,low,"Measures the degree of patriotism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of patriotism.,Slight evidence of patriotism; brief or weak signals.,Moderate patriotism; clear but not dominant evidence.,Strong patriotism; multiple clear indicators.,Very strong patriotism; pervasive and compelling evidence.,,
Leadership Styles:,Leadership Styles,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Servility,Servility,conversation_observable,True,low,"Measures the degree of servility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of servility in the conversation.,Minimal/isolated signs of servility.,Moderate servility apparent in several statements.,Clear and repeated servility throughout.,Pervasive servility dominating the conversation.,,
742. I Ching hexagram 24 resonance level,I Ching Hexagram 24 Resonance Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Esoteric/spiritual metric requires external measurement.,numbered_prefix
Enneagram Personality Types:,Enneagram Personality Types,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Stress Recovery Ability,Stress Recovery Ability,conversation_observable,True,low,"Measures the degree of stress recovery ability demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of stress recovery ability.,Slight evidence of stress recovery ability; brief or weak signals.,Moderate stress recovery ability; clear but not dominant evidence.,Strong stress recovery ability; multiple clear indicators.,Very strong stress recovery ability; pervasive and compelling evidence.,,
Troubleshooting technical issues,Troubleshooting Technical Issues,conversation_observable,True,low,"Measures the degree of troubleshooting technical issues demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of troubleshooting technical issues.,Slight evidence of troubleshooting technical issues; brief or weak signals.,Moderate troubleshooting technical issues; clear but not dominant evidence.,Strong troubleshooting technical issues; multiple clear indicators.,Very strong troubleshooting technical issues; pervasive and compelling evidence.,,
